r;rid;node1;node2;type;w
r;30716256;20164;1906623;11;67
r;33152587;20164;103405;32;67
r;10803492;20164;317929;0;66
r;10814006;20164;264908;0;66
r;10921328;20164;265277;0;66
r;10947892;20164;54794;0;66
r;433489007;20164;128128;26;66
r;433908704;20164;16437285;26;66
r;10958802;20164;142602;0;65
r;1540043;20164;213810;1;65
r;54703467;20164;34381;5;65
r;13722882;20164;234036;6;65
r;374423196;20164;130164;26;65
r;374425724;20164;14727925;26;65
r;1758027;20164;109638;35;65
r;78313934;20164;202;35;65
r;10826942;20164;264881;0;64
r;10839660;20164;265839;0;64
r;14029778;20164;237445;6;64
r;274262;20164;8990;0;63
r;9352984;20164;154397;0;63
r;10850216;20164;264880;0;63
r;22709960;20164;1088197;6;63
r;10860791;20164;115304;0;62
r;237869;20164;56280;9;62
r;247544;20164;71115;17;62
r;66301;20164;17936;0;61
r;141392;20164;30459;0;61
r;15330264;20164;140429;0;61
r;11785875;20164;140429;3;61
r;55147458;20164;81819;5;61
r;237866;20164;144846;9;61
r;237868;20164;60902;9;61
r;29868646;20164;1848437;11;61
r;390332538;20164;14925399;333;61
r;126348;20164;142275;0;60
r;244684;20164;117309;0;60
r;244685;20164;97647;0;60
r;246829;20164;24670;0;60
r;9956567;20164;131011;0;60
r;15352063;20164;35143;0;60
r;15450636;20164;24742;0;60
r;15451382;20164;50567;0;60
r;374279;20164;50567;3;60
r;1529001;20164;35143;3;60
r;237867;20164;8990;9;60
r;1598829;20164;101230;10;60
r;1598832;20164;135655;10;60
r;14690000;20164;437185;11;60
r;52446906;20164;2562411;11;60
r;86193092;20164;3364884;11;60
r;86199786;20164;3363960;11;60
r;86199814;20164;3363956;11;60
r;86199881;20164;3363947;11;60
r;86200040;20164;3363926;11;60
r;86200167;20164;3363908;11;60
r;86213959;20164;3362211;11;60
r;93680612;20164;3755875;11;60
r;229410;20164;10369;17;60
r;312611;20164;20164;19;60
r;148919;20164;10370;21;60
r;428846;20164;154397;35;60
r;55147457;20164;2585996;36;60
r;141391;20164;4653;0;59
r;14051022;20164;360974;0;59
r;402713;20164;24742;3;59
r;237871;20164;77424;9;59
r;34131693;20164;2334385;11;59
r;55936960;20164;2474487;11;59
r;83650834;20164;3318710;11;59
r;83651107;20164;3318748;11;59
r;84280540;20164;3336758;11;59
r;86145382;20164;3370396;11;59
r;86147767;20164;3370120;11;59
r;86199846;20164;3363952;11;59
r;86199857;20164;3363951;11;59
r;86199876;20164;3363948;11;59
r;86199885;20164;3363946;11;59
r;86199923;20164;3363941;11;59
r;86199941;20164;3363939;11;59
r;86199981;20164;3363934;11;59
r;86200019;20164;3363929;11;59
r;86200126;20164;3363914;11;59
r;86200131;20164;3363913;11;59
r;93493493;20164;3746781;11;59
r;93499395;20164;3746058;11;59
r;484262229;20164;17669286;128;59
r;9763047;20164;143668;0;58
r;10626478;20164;248660;0;58
r;96710410;20164;217655;0;58
r;14690004;20164;437184;11;58
r;83641298;20164;3318464;11;58
r;83650477;20164;3318734;11;58
r;86171071;20164;3367350;11;58
r;86199807;20164;3363957;11;58
r;86199862;20164;3363950;11;58
r;86199900;20164;3363944;11;58
r;86199932;20164;3363940;11;58
r;86200109;20164;3363917;11;58
r;93310679;20164;3738582;11;58
r;93682585;20164;3755669;11;58
r;93984525;20164;3763694;11;58
r;31864757;20164;155186;17;58
r;144071;20164;153648;21;58
r;33827102;20164;392003;26;58
r;31876957;20164;152606;58;58
r;83644224;20164;3318686;11;57
r;83652656;20164;3318757;11;57
r;86138510;20164;3371241;11;57
r;86165406;20164;3368049;11;57
r;86187432;20164;3365489;11;57
r;86199779;20164;3363961;11;57
r;86199830;20164;3363954;11;57
r;86199962;20164;3363936;11;57
r;86200119;20164;3363915;11;57
r;86205553;20164;3363232;11;57
r;86233567;20164;3360526;11;57
r;86248432;20164;3361494;11;57
r;93455081;20164;3743679;11;57
r;93502832;20164;3745640;11;57
r;93652114;20164;3758919;11;57
r;93711071;20164;3752708;11;57
r;2325250;20164;254876;36;57
r;195474911;20164;138874;102;57
r;9799796;20164;248081;0;56
r;10875622;20164;260949;0;56
r;86154141;20164;3369343;11;56
r;86179072;20164;3366383;11;56
r;86182431;20164;3365987;11;56
r;86199770;20164;3363962;11;56
r;86199869;20164;3363949;11;56
r;86199890;20164;3363945;11;56
r;86199996;20164;3363932;11;56
r;86200058;20164;3363924;11;56
r;86200069;20164;3363923;11;56
r;86200074;20164;3363922;11;56
r;86200147;20164;3363911;11;56
r;86248996;20164;3361482;11;56
r;86259993;20164;3361859;11;56
r;86262479;20164;3362041;11;56
r;86338349;20164;3374776;11;56
r;93457574;20164;3743945;11;56
r;93785768;20164;3760627;11;56
r;93785771;20164;3760624;11;56
r;95157871;20164;4160040;11;56
r;182939;20164;107689;17;56
r;236025;20164;144229;17;56
r;471958233;20164;17348309;66;56
r;471958236;20164;17348306;66;56
r;10620779;20164;245124;0;55
r;15330265;20164;60056;0;55
r;96710409;20164;1711;0;55
r;479488353;20164;9954797;0;55
r;191534;20164;71624;6;55
